,ADA-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,CRO-USD,DOGE-USD,ETH-USD,HBAR-USD,LEO-USD,LINK-USD,LTC-USD,PYUSD-USD,RAIN-USD,SHIB-USD,SOL-USD,TON-USD,TRX-USD,WBT-USD,XLM-USD,XMR-USD,XRP-USD,ZEC-USD
2025-11-21 13:00:00+00:00,0.003973966,0.00180439,0.007536678,0.00546681,0.010905409,0.019126302,0.01092092,0.007441855,0.015514483,-0.003033741,0.002794531,0.010716461,6.10E-05,0,0.009850867,0.009343177,0,0.00370324,0.007528473,0.008181476,0.006845194,0.013733133,0.016323116
2025-11-21 14:00:00+00:00,0.012859388,0.007001893,0.036948032,0.006165889,0.011044579,0.015088195,0.007922344,0.009840915,0.015100768,0.005297446,0.01291297,0.0062601,-4.62E-05,0,0.006693023,0.00954743,0,0.001280475,0.004202179,0.012526757,0.013658347,0.011519454,0.000486894
2025-11-21 15:00:00+00:00,-0.025120381,-0.018972142,0.008088079,-0.019065612,-0.02644915,-0.016218721,-0.024923929,-0.027072283,-0.028839613,0.003796247,-0.030510008,-0.025240945,-4.94E-05,0,-0.020891756,-0.028846808,-0.018316354,-0.005482386,-0.01793396,-0.018301439,-0.01568331,-0.023624788,-0.034715596
2025-11-21 16:00:00+00:00,0.023366354,0.021947058,0.029553705,0.017340748,0.022643174,0.017926511,0.021918971,0.022398807,0.030588802,0.005873581,0.021167454,0.018237086,-8.87E-05,0,0.016662884,0.023635371,0,0.003667303,0.007915442,0.021545337,0.021990478,0.021241273,-0.004393166
2025-11-21 17:00:00+00:00,0.007895205,0.002612833,0.011299804,0.00625815,0.001563521,-0.007171225,0.006387445,0.007914182,0.008590527,0.00780286,0.005953159,-0.000430206,0.000150981,0.020657557,0.003121946,0.008922408,0,0.001797354,0.011108901,0.00621509,-0.010946229,0.015284268,-0.012817952
2025-11-21 18:00:00+00:00,-0.001128297,0.000768206,0.003734032,-0.004613607,-0.003938031,-0.012194452,-0.00512421,-0.002397875,0.003500123,0.006533447,0.002456604,0.000580574,-5.52E-05,0,-0.008626334,0.001576164,0,-0.003571095,-0.004969485,0.001882243,0.003112358,-0.006091078,-0.023579703
2025-11-21 19:00:00+00:00,-0.011743852,-0.00490463,-0.002066521,-0.004228402,-0.004067483,0.000572129,-0.011131701,-0.009570635,-0.014870332,0.001305992,-0.012754275,-0.007535019,8.84E-05,0,-0.005246725,-0.012651037,0.006602368,-0.00183717,-0.005508973,-0.014142765,-0.009253321,-0.012404363,-0.000906287
2025-11-21 20:00:00+00:00,-0.006421853,0.001395308,-0.003796281,-0.001796816,0.004049179,-0.008600544,-0.003193314,-0.00389624,-0.009881913,-0.000294951,-0.003103734,-0.009143209,-5.16E-05,0,-0.010873585,-0.003753093,-0.002344864,0.000260314,-0.001083285,-0.005452675,-0.019958092,0.00025033,-0.015928014
2025-11-21 21:00:00+00:00,0.015225177,0.003030175,0.062383373,0.012190799,0.006904213,0.017296669,0.013771965,0.009158667,0.013869156,-0.00498005,0.011094834,0.008567457,6.83E-05,0,0.018003347,0.010813226,0,0.002803317,0.007602959,0.007530019,0.022833365,0.004293401,-0.025527405
2025-11-21 22:00:00+00:00,-0.026864516,-0.007836447,-0.024012611,-0.0170915,-0.009211403,-0.024000012,-0.029192438,-0.014340933,-0.027690523,0.004422986,-0.024571316,-0.018229524,-0.000123126,0,-0.026976191,-0.02255657,0,-0.003848982,-0.008942084,-0.01941345,-0.012632398,-0.019575119,-0.068611909
